"SN","MOVIES","VOTES","RATING","GROSS"
"219","Beasts of No Nation","76530","7.7","80000"
"220","Isn't It Romantic","65584","5.9","48790000"
"221","The Ghost Writer","159090","7.2","15540000"
"222","Valley of the Dolls","7900","6","44430000"
"223","The Shack","31775","6.3","57390000"
"224","Maggie","42895","5.6","190000"
"225","Broken City","77749","6.2","19700000"
"226","Step Up 2: The Streets","82792","6.2","58020000"
"227","Contraband","119261","6.4","66530000"
"228","The Client","62748","6.7","92120000"
"229","Mirror Mirror","85615","5.6","64940000"
"230","I Spit on Your Grave 2","28118","5.7","0"
"231","The Great Gatsby","24087","6.4","6740000"
"232","Thelma","28282","7","150000"
"233","Step Up 3D","56610","6.2","42400000"
"234","Triple Threat","10345","5.6","80000"
"235","Kari-gurashi no Arietti","84951","7.6","19200000"
"236","Step Up Revolution","54763","6.4","35070000"
"237","Cloudy with a Chance of Meatballs 2","94660","6.4","119790000"
"238","Brooklyn's Finest","61994","6.7","27150000"
"239","Mirrors","103973","6.1","30690000"
"240","Honeymoon","24861","5.7","10000"
"241","Touch of Evil","100664","8","2240000"
"242","True Story","65679","6.3","4720000"
"243","Planes","43335","5.7","90290000"
"244","Omoide no Mânî","35523","7.7","770000"
"245","The One I Love","37373","7.1","510000"
"246","Jeepers Creepers 3","19260","3.9","2240000"
"247","Geronimo: An American Legend","10096","6.5","18640000"
"248","The Immigrant","30649","6.6","2009999"
"249","Step Up All In","33247","6","14900000"
"250","Take Me","5088","6.1","0"
"251","Un long dimanche de fiançailles","71916","7.6","6170000"
"252","Kokuriko-zaka kara","38625","7.4","1000000"
"253","Extremely Loud & Incredibly Close","99165","6.9","31850000"
"254","Red Riding Hood","109473","5.5","37660000"
"255","Get Rich or Die Tryin'","45092","5.4","30980000"
"256","Hit and Run","35252","6.1","13750000"
"257","Duck Butter","3531","5.3","10000"
"258","Liu lang di qiu","28264","6","5880000"
"259","Philomena","96244","7.6","37710000"
"260","Alvin and the Chipmunks: The Squeakquel","45491","4.5","219610000"
"261","In the Name of the King: A Dungeon Siege Tale","46327","3.8","4540000"
"262","The Little Mermaid","8546","4.3","7150000"
"263","Miss Bala","10048","5.8","15010000"
"264","John Dies at the End","37007","6.4","140000"
"265","Kaguya-hime no monogatari","41510","8","1510000"
"266","Dumbo","124409","7.2","1600000"
"267","Le Petit Prince","58668","7.7","1340000"
"268","Tangerine","28651","7.1","700000"
"269","A Man Apart","46040","6.1","26180000"
"270","Romeo & Juliet","11411","5.8","1160000"
"271","Mongol","45408","7.2","5700000"
"272","The Gunman","39993","5.8","10640000"
"273","Yip Man 3","51648","7.1","2680000"
"274","Mugen no jûnin","16248","6.8","150000"
"275","Kal Hee","28969","7.6","450000"
"276","Kahaani","59675","8.1","1040000"
"277","Arbitrage","51051","6.6","7920000"
"278","Premium Rush","111533","6.5","20280000"
"279","Gedo senki","37082","6.4","50000"
"280","The Painted Veil","90212","7.5","8060000"
"281","Beirut","20085","6.5","5020000"
"282","An Interview with God","3470","5.8","1250000"
"283","Into the Forest","19853","5.8","10000"
"284","Smurfs: The Lost Village","19549","6","45020000"
"285","Kon-Tiki","47166","7.2","1520000"
"286","Under the Shadow","25632","6.9","30000"
"287","A Man for All Seasons","32729","7.7","28350000"
"288","Million Dollar Arm","44546","7","36450000"
"289","The Dawn Wall","16824","8.1","1080000"
"290","Big Game","31914","5.4","20000"
"291","The Bookshop","13939","6.5","1330000"
"292","D-Tox","25639","5.3","80000"
"293","A United Kingdom","15365","6.9","3900000"
"294","Naissance des pieuvres","10813","6.7","80000"
"295","Jue di tao wang","19872","5.7","0"
"296","The Hurricane Heist","19776","5.1","6120000"
"297","The Night Before","68503","6.4","43040000"
"298","Laggies","42740","6.4","440000"
"299","Mark Felt: The Man Who Brought Down the White House","12491","6.4","770000"
"300","Forces spéciales","18275","6.4","10000"
"301","Death Warrant","17926","5.7","16850000"
"302","Beyond a Reasonable Doubt","12570","5.9","30000"
"303","The Warrior's Way","25758","6.3","5660000"
"304","King Cobra","8572","5.6","30000"
"305","Mirai no Mirai","13651","7","810000"
"306","Skjelvet","10622","6.2","10000"
"307","Drinking Buddies","56754","6.1","340000"
"308","Ala Vaikunthapurramuloo","10091","7.3","4700000"
"309","Blue Jay","15777","7.3","10000"
"310","Jui kuen II","44060","7.6","11550000"
"311","The Last Legion","34726","5.4","5930000"
"312","Thumbelina","16055","6.4","11370000"
"313","Other People","10487","6.8","90000"
"314","Celeste & Jesse Forever","30382","6.6","3090000"
"315","Racing Stripes","16506","5.2","49770000"
"316","Middle School: The Worst Years of My Life","8256","6.1","19990000"
"317","People Like Us","42162","7.1","12410000"
"318","Dilwale","32707","5.1","4830000"
"319","The ABCs of Death","18559","4.7","20000"
"320","The Breadwinner","22504","7.7","310000"
"321","Acrimony","8263","5.8","43550000"
"322","LBJ","6303","6.5","2470000"
"323","The Bag Man","16620","5.2","50000"
"324","Viceroy's House","7296","6.7","1110000"
"325","Joshua","12266","5.9","480000"
"326","The Perfect Host","26028","6.8","50000"
"327","Te3n","12303","7.3","260000"
"328","Coco avant Chanel","39401","6.7","6110000"
"329","Wildflower","866","5.3","10000"
"330","Pariah","6525","7.2","760000"
"331","Boy Meets Girl","4391","7.1","20000"
"332","Operation Avalanche","6983","6.1","60000"
"333","Dealin' with Idiots","1306","5.4","20000"
"334","Contracted","14668","5.3","0"
"335","XX","11394","4.6","30000"
"336","V/H/S Viral","15520","4.2","0"
"337","Inosensu: Innocence","37017","7.5","1040000"
"338","Manny & Lo","1944","6.6","500000"
"339","Brotherly Love","1787","6.7","440000"
"340","Ashby","15197","6.4","0"
"341","Results","6774","5.4","100000"
"342","This Film Is Not Yet Rated","27671","7.5","300000"
"343","Mind Game","8774","7.8","40000"
"344","Hell and Back","4823","5.4","160000"
"345","Born to Be Blue","8304","6.9","830000"
"346","Life Itself","15182","7.8","810000"
"347","Hai Phuong","4265","6.3","590000"
"348","Our Man Flint","6205","6.5","16000000"
"349","Hagane no renkinjutsushi: Mirosu no seinaru hoshi","4653","7","180000"
"350","Won't Back Down","6317","6.5","5310000"
"351","Mob Psycho 100","462","5.1","120000"
"352","Jinn","4638","4.2","150000"
"353","Nocturama","4659","6.4","30000"
"354","Seoul Searching","1537","7","20000"
"355","Middle of Nowhere","1713","6.4","80000"
"356","17 filles","3140","6","20000"
"357","Adult Beginners","8169","5.6","100000"
"358","Finding Bliss","2442","5.3","10000"
"359","The King and I","3922","4.5","11960000"
"360","All the Queen's Men","2590","4.9","20000"
"361","Any Day Now","6037","7.5","200000"
"362","Pyaar Ka Punchnama 2","14399","7.2","220000"
"363","Oorlogswinter","12479","7","540000"
"364","The Last of Robin Hood","2131","5.7","270000"
"365","Yoake tsugeru Rû no uta","1991","6.8","110000"
"366","Fed Up","11714","7.7","1540000"
"367","Whitney","7004","7.3","3030000"
"368","Under solen","2510","6.7","290000"
"369","Damsels in Distress","9343","5.7","1010000"
"370","Tomorrow Is Forever","2456","7.4","3250000"
"371","Gap tung kei hap","3436","4.8","10000"
